Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Total phosphorus,grams per kg of soil,0.29,0.0026,,0.43,0.021,,,Toxicodendron vernicifluu,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)b,2014,24.8,113.6,
Stand transpiration,mm per season,270.0203,NA,NA,294.8253,NA,NA,NA,Pinus pinaster,Acacia longifola,Rascher et al. (2011),Rascher et al. (2011)a,2011,38.25,-8.766666667,Observational
Soil phosphorus,,4.9,0.15,5,5.36,0.27,5,,Acer rubrum,Microstegium vimineum,Rodrigues et al. (2015),Rodrigues et al. (2015)a,2015,NA,NA,Observational
Soil phosphorus,,6.66,0.12,5,6.69,0.2,5,,Panicum virgatum,Rhamnus davurica,,,,,,
Soil phosphorus,,6.67,0.31,5,6.29,12,5,,Liriodendron tulipifera,Alianthus altissima,,,,,,
Total soil carbon,grams per kg of soil,35.466,1.796,47,42.366,1.398,78,,Cynodon dactylon,Arundo donax,Sarkhot et al. (2012),Sarkhot et al. (2012)a,2012,28.9587,-100.645,Experimental
Soil mineral nitrogen,micrograms per gram,5.5809,2.1254,6,7.6418,0.9857,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil mineral nitrogen,micrograms per gram,10.9514,2.0328,6,11.6569,1.0165,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil mineral nitrogen,micrograms per gram,9.3911,1.2013,6,11.0207,1.6324,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil gravimetric water,%,22.3193,1.9785,6,13.0865,0.7903,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil gravimetric water,%,35.1158,1.8789,6,27.8608,2.1755,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil gravimetric water,%,17.0609,1.0862,6,13.4639,1.3844,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental
Soil moisture,kg per kg of soil,0.082,0.006,,0.087,,,,Artemisia tridentata,Bromus tectorum,Stark and Norton (2015),Stark and Norton (2015)a,2015,39.90333333,-108.4008333,Experimental
Soil NH4,milligrams per kg of soil,2.51,0.14,,2.42,,,,Artemisia tridentata,Bromus tectorum,Stark and Norton (2015),Stark and Norton (2015)a,2015,39.90333333,-108.4008333,Experimental
Soil No3,milligrams per kg of soil,0.51,0.05,,0.46,,,,Artemisia tridentata,Bromus tectorum,Stark and Norton (2015),Stark and Norton (2015)a,2015,39.90333333,-108.4008333,Experimental
Soil moisture,%,30.56,2.066,3,32.89,2.22,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
Barney (2015)","Tekiela and
Barney (2015)a",2015,37.281008,-80.475236,Observational
Soil organic matter,%,5.559,0.709,3,4.781,0.5798,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
Barney (2015)","Tekiela and
Barney (2015)a",2015,37.281008,-80.475236,Observational
Soil nitrogen,%,0.2167,0.0288,3,0.2131,0.0271,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
Barney (2015)","Tekiela and
Barney (2015)a",2015,37.281008,-80.475236,Observational
Soil phosphorus,ppm,2.318,0.1527,3,2.227,0.1127,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
Barney (2015)","Tekiela and
Barney (2015)a",2015,37.281008,-80.475236,Observational
Soil nitrogen content,%,0.0839,0.0073,3,0.1019,0.0072,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and
Shrestha (2011)","Timsina and
Shrestha (2011)a",2011,Look up,Look up,Observational
Soil organic matter content,%,1.2402,0.1168,3,1.5322,0.1015,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and
Shrestha (2011)","Timsina and
Shrestha (2011)a",2011,Look up,Look up,Observational
Soil phosphorus,kg per hectare,121.0872,9.8684,3,291.0985,48.3803,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and
Shrestha (2011)","Timsina and
Shrestha (2011)a",2011,Look up,Look up,Observational
Total organic carbon,grams per kg of soil,22.062,2.004,3,19.3,1.176,3,SE,Phragmites australis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational
Total organic carbon,grams per kg of soil,19.714,0.702,3,19.3,1.176,3,SE,Cyperus malaccensis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational
